HOLE_ID,EASTING,NORTHING,ELEVATION,TD,PROJECT_FK,START_DATE,END_DATE,GEOLOGIST_NAME,GEOLOGY_GROUP
EK-502-593E-C025,2394326.91,4808137.29,506.44,5.15,EK,07-12-2013 0:00,,Marcos Estevez,CN_PRODUCCION
EK-502-593E-C029,2394337.03,4808131.12,506.7,6,EK,10-12-2013 0:00,,Pablo Ribero,CN_PRODUCCION
EK-502-593E-C033,2394347.122,4808122.818,507.1,4.8,EK,14-01-2014 0:00,,Fernanda Beretta,CN_PRODUCCION
PMC-0800,2398720.36,4809261.797,557.1208,87,MCEN,08-06-2018 0:00,09-06-2018 0:00,Cintia San Martin,CN_INFILL
PMC-0804,2398721.12,4809261.16,557.6091,69,MCEN,14-06-2018 0:00,15-06-2018 0:00,Gabriel Guarascio,CN_INFILL
PMC-0821,2398486.078,4809496.908,380.117,126,MCEN,16-07-2018 0:00,17-07-2018 0:00,Sabrina Paredes,CN_INFILL
PMC-0836,2398486.837,4809499.491,380.122,87.5,MCEN,18-08-2018 0:00,19-08-2018 0:00,Kevin Lezcano,CN_INFILL
PMC-0847,2398810.782,4809291.324,405.407,80.1,MCEN,15-09-2018 0:00,16-09-2018 0:00,Sabrina Paredes,CN_INFILL
PMC-0855,2398765.868,4809308.174,404.645,90,MCEN,01-10-2018 0:00,02-10-2018 0:00,Wilson Briceno,CN_INFILL
PMC-0857,2398767.036,4809307.848,404.653,81,MCEN,04-10-2018 0:00,04-10-2018 0:00,Cintia San Martin,CN_INFILL
PMC-0864,2398768.64,4809306.88,404.921,81,MCEN,14-10-2018 0:00,16-10-2018 0:00,Cintia San Martin,CN_INFILL
PMC-0869,2398276.92,4809617.18,455.95,80,MCEN,03-11-2018 0:00,03-11-2018 0:00,Cintia San Martin,CN_INFILL
PMC-0875,2398274.96,4809617.64,456.12,107.3,MCEN,12-11-2018 0:00,14-11-2018 0:00,Sabrina Paredes,CN_INFILL
PMC-0888,2398321.39,4809539.96,531.76,69,MCEN,01-01-2019 0:00,02-01-2019 0:00,Sabrina Paredes,CN_INFILL
PMC-0890,2398321,4809539.62,532.38,84,MCEN,04-01-2019 0:00,05-01-2019 0:00,Sabrina Paredes,CN_INFILL
PMC-0921,2398320.16,4809625.82,408.84,53.4,MCEN,24-04-2019 0:00,24-04-2019 0:00,Kevin Lezcano,CN_INFILL
PMC-0926,2398514.28,4809468.63,636.94,97.7,MCEN,26-04-2019 0:00,30-04-2019 0:00,Wilson Briceno,CN_INFILL
PMC-0935,2398317.709,4809627.239,407.0314,96,MCEN,05-05-2019 0:00,06-05-2019 0:00,Kevin Lezcano,CN_INFILL
PMC-0942,2398317.72,4809627.18,406.8159,126,MCEN,15-05-2019 0:00,18-05-2019 0:00,Carlos Allis,CN_INFILL
PMC-0944,2398318.38,4809626.79,406.8599,126,MCEN,18-05-2019 0:00,20-05-2019 0:00,Carlos Allis,CN_INFILL
PME-0006,2399085.608,4809175.739,657.604,275,MCSE,05-02-2019 0:00,,Gabriel Guarascio,NEAR_MINES
PME-0011,2399087.796,4809044.72,656.876,176,MCSE,23-02-2019 0:00,23-02-2019 0:00,Mauro Alcaide,NEAR_MINES
PMN-0016,2398733.54,4809704.4,597.41,222,MN,10-08-2013 0:00,16-08-2013 0:00,Monica Arrese,CN_INFILL
PMN-0017,2398644.33,4809707.79,596.98,100.8,MN,11-08-2013 0:00,14-08-2013 0:00,Monica Arrese,CN_INFILL
PMN-0037,2398850.235,4809684.712,589.88,197.6,MN,04-10-2013 0:00,09-10-2013 0:00,Emiliano Cacciavillani,CN_INFILL
PMN-0050,2398532.613,4809860.262,663.84,137.6,MN,29-11-2013 0:00,02-12-2013 0:00,Debora Sugamiele,CN_INFILL
PMN-0067,2398668.071,4809711.579,596.452,105,MN,24-09-2017 0:00,25-09-2017 0:00,Kevin Lezcano,CN_INFILL
PMN-0071,2398668.846,4809711.655,596.347,99,MN,30-09-2017 0:00,04-10-2017 0:00,Gabriel Guarascio,CN_INFILL
PMN-0074,2398745.101,4809743.606,597.768,78,MN,09-10-2017 0:00,09-10-2017 0:00,Kevin Lezcano,CN_INFILL
PMN-0082,2398765.65,4809758.196,577.777,65,MN,27-10-2017 0:00,28-10-2017 0:00,Wilson Briceno,CN_INFILL
PMN-0086,2398762.759,4809758.247,577.42,92.8,MN,05-11-2017 0:00,07-11-2017 0:00,Wilson Briceno,CN_INFILL
PMN-0096,2398762.49,4809758.37,577.278,84,MN,30-11-2017 0:00,01-12-2017 0:00,Kevin Lezcano,CN_INFILL
PMN-0112,2398667.54,4809738.67,556.0352,102,MN,04-03-2018 0:00,07-03-2018 0:00,Cintia San Martin,CN_INFILL
PMN-0120,2398670.578,4809739.345,555.6991,216,MN,22-03-2018 0:00,28-03-2018 0:00,Gabriel Guarascio,CN_INFILL
PMN-0125,2398882.96,4809776.77,673.814,170,MN,31-05-2018 0:00,02-06-2018 0:00,Wilson Briceno,CN_INFILL
PMN-0128,2398913.92,4809820.2,670.938,188,MN,05-06-2018 0:00,11-06-2018 0:00,Cintia San Martin,CN_INFILL
PMN-0129,2398838.32,4809824.76,667.917,150,MN,11-06-2018 0:00,13-06-2018 0:00,Gabriel Guarascio,CN_INFILL
MDD-15132,2400105.02,4810143.16,635.01,500.3,MNE,14-09-2015 0:00,20-09-2015 0:00,Marcelo Ghidini,CerroNegro
MDD-15147,2400236.46,4810207.25,646.4,607.5,MNE,08-10-2015 0:00,14-10-2015 0:00,Patricio Brividoro,CerroNegro
MDD-16003,2399928.51,4809109.52,627.01,410.5,MCSE,13-03-2016 0:00,18-03-2016 0:00,Matias Reinoso,CerroNegro
MDD-16010,2399949.31,4809160.46,635.624,484.5,MCSE,03-04-2016 0:00,05-04-2016 0:00,Matias Albarracin,CerroNegro
MDD-16014,2400125.55,4810201.5,633.42,640.5,MNE,07-04-2016 0:00,17-04-2016 0:00,Diego Grill,CerroNegro
MDD-16043,2399977.434,4808985.977,618.409,51,MCSE,28-05-2016 0:00,29-05-2016 0:00,Matias Albarracin,CerroNegro
MDD-16050,2400070.69,4809001.11,621.69,22,MCSE,01-06-2016 0:00,01-06-2016 0:00,Matias Reinoso,CerroNegro
MDD-16054,2400070.65,4809002.74,621.65,462.5,MCSE,07-06-2016 0:00,10-06-2016 0:00,Matias Reinoso,CerroNegro
MDD-16062,2400415.948,4810167.387,638.031,504,MNE,23-06-2016 0:00,29-06-2016 0:00,Matias Albarracin,CerroNegro
MDD-16067,2400693.19,4810190.12,612.68,481.5,MNE,06-07-2016 0:00,09-07-2016 0:00,Matias Reinoso,CerroNegro
MDD-16070,2400592.78,4810175.53,624.14,50,MNE,12-07-2016 0:00,13-07-2016 0:00,Matias Reinoso,CerroNegro
MDD-16085,2399500.2,4808933.51,648.37,493.5,MCSE,13-08-2016 0:00,17-08-2016 0:00,Matias Albarracin,CerroNegro
